"",ADDRESS,Days Open/ Hours Cont.,SECONDARY SERVICE,ZIP CODE,CITY,Languages Offered,WEBSITE,PRIMARY SERVICE,Basic Information,PHONE,TRANSPORTATION,HOURS,lgn,SITE NAME,QUADRANT,STATE,lat,Restrictions? Criteria to Access
,651 10th St.,,Comprehensive service provider,20002,Washington,,,Health Services,,202-715-7900,"Bus: X2, D4, D6","Tues, Thurs, 8:30am-12pm",-76.992232,House of Ruth Primary Health Care/ Madison Emergency Shelter,NE ,DC,38.898634,Women
,2041 Georgia Ave.,,Women's Health/Family Services,20060,Washington,,,Health Services,,,,,-77.020306,Howard University Hospital (WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.917949,
,25 53rd St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9258476,Hughes Memorial United Methodist (SHARE site),NE,DC,38.8887652,
,4130 Hunt Place,,Women's Health/Family Services,20019,Washington,,,Health Services,,,,,-76.9437811,Hunt Place Health Center (Unity Health Care) (WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.900537,
,111 Michigan Avenue,,,20010,Washington,,http://www.childrensnational.org,Health Services,,(202) 476-3948,"Bus: H1, H2, H3, H4, ",,-77.014864,"I.D.E.A.L. Clinic, Children's National Medical Center",NW,DC,38.927241,Youth Age 2-18
,1338 N Capitol St Suite 101,"Tuesday to Saturday.

Closed Sunday and Monday","Teens/ Young Adults, Disabled, Low-Income",20002,"Washington, DC",,http://idamaecampbell.org/,"Recreational Programs, Artistic/ Creative Services",No,202 6847015,"BUS SERVICE: 80, 90, 92, 93, 96, 97, D1, D3, D4, D6, D8, G2, N22, P6, X1, X2, X3, X8, Circulator
METRO: Red Line, New York Avenue–Florida Avenue–Florida Avenue exit–Gallaudet U  metro stop"," Tuesday - Friday: 12 PM- 8 PM
Saturday: 11 AM - 5 PM",-77.009462,Ida Mae Campbell Foundation,NW,DC,38.908414,
,1315 8th St.,,,20001,Washington,,,Food/ Grocery Services,,(202) 332-8888,Metro: Mt Vernon Square (Green/Yellow Line),"Mon-Fri, 9am-5pm",-77.022597,Immaculate Conception Church,NW,DC,38.907743,Must live 20 blocks from site
,6th St. and Indepdence Ave.,,,20004,Washington,,,Community Garden,,,,,-77.0199048,Independence Garden,SW,DC,38.8875682,
,"8700 Georgie Avenue
Suite 50",Monday-Friday,"Immigrants, Refugees, Asylees",20910,"Silver Spring, MD","English, most other languages available upon request","http://www.yourrefugee.info
http://www.theirc.org/us-program/us-washington-dc","Job Training, English classes","Only available to refugees, immigrants, and asylees. ",(301) 562-8633 ext. 217,"Bus 
Georgia Avenue and Cameron Street Stop
-Route Q2 to Shady Grove
-Route Y5 to Norbeck Park and Ride
-Route Y7 to Norbeck Park and Ride
-Route Y8 to Montgomery Hospital 
-Route Y9 to Montgomery Hospital 
-Route Q2 to Silver Spring
-Route Y5 to Silver Spring
-Route Y8 to Silver Spring
-Route Y9 to Silver Spring

Colesville Road and Dixon Avenue Stop
-Ride-On Bus 12 to Takoma Station
-Ride-on Bus 16 to Takoma Station
-Ride-On Bus 16 to Takoma Metro Station
-Ride-On Bus 17 to Langley Park
-Ride-On Bus 20 to Hillandale
-Ride-On Bus 8 to Wheaton Station 
-Ride-On Bus 9 to Whaton Station
(Then, walk northeast on Colesville Road, turn left on Georgia Avenue, and walk approximately 1 block northwest on Georgia Avenue.)

Colesville Road and Fenton Street Stop
-Ride-On Bus 72 to Silver Spring
-Route Z8 to Silver Spring
-Ride-On Bus 12 to Silver Spring Station
-Ride-On Bus 14 to Silver Spring
-Ride-On Bus 17 to Silver Spring Station 
-Ride-On Bus 20 to Silver Spring Station 
-Ride-On Bus 8 to Silver Spring Station 
-Ride-On Bus 9 to Silver Spring Station 
(Then, walk approximately 1 block northwest on Fenton Street, turn left on Cameron Street, and walk approximately 1 block southwest on Cameron Street.)

Metro
-Take the Red lines (to Glenmont or Shady Grove) to Silver Spring Metro Station 
(Then, walk approximately 1 block northeast on Colesville Road, turn left on ramsey Avenue, walk approximately 1 block northwest on Ramsey Avenue, turn right on Fidler Lane, walk approximately 1 block northeast on Fidler Avenue, and turn left on Georgia Avenue. ",9am-5pm,-77.0391754,International Rescue Committee: Suburban Washington Resettlement Center,n/a,MD,39.0041504,Coordinate with many social service providers in addition to their own direct service. 
,4125 Albemarle St.,,Outreach Center,20016,Washington,,http://www.iona.org,Senior Services,,(202) 966-1055,Metro: Tenleytown-AU (Red Line) Bus: 30,"Mon-Fri, 9am-5pm",-77.081653,IONA Senior Service Center,NW,DC,38.9482209,Seniors
,1251 Saratoga Ave.,,,20018,Washington,,,Senior Services,,(202) 832-8483,Metro: Rhode Island Ave-Brentwood (Red Line),"Mon-Fri, 10am-2pm",-76.989444,Israel Baptist Church,NE,DC,38.921809,Seniors
,557 Randolph St.,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.021147,Israel Metropolitan CME (SHARE site),NW,DC,38.939037,
,2600 P St.,,,20006,Washington,,,Food/ Grocery Services,,,,,-77.0547598,Jerusalem Baptist (SHARE site),NW,DC,38.9093682,
,"6123 Montrose Road
",Monday-Friday,"Immigrants, Refugees",20852,"Rockville, MD",English (others may be available upon request),http://www.jssa.org/services/community/newcomer,"Legal Services, Job Training, Faith-Based/ Religious",Provides resettlement services to immigrants from Russia and Iran,(301) 881-3700,"Bus
East Jefferson Street and Montrose Road Stop
-Ride-On Buse 26 to Montgomery mall
-Ride-On Bus 5 to Silver Spring Station
-Ride-On Bus 26 to Glenmont Station
-Ride-On Bus 5 to Twinbrook Station
-Ride-On Bus 38 to Montgomery mall
-Ride-On Bus 38 to Wheaton Station 
Then, walk approximately 1 block east on Montrose Road",8am-5pm,-77.123936,Jewish Social Service Agency,n/a,MD,39.052769,"This program is less robust currently than it was in the past, though all programs still exist. "
,1526 Pennsylvania Ave.,,Shelters/ Transitional Housing,20003,Washington,,http://www.jobshavepriority.org,Job Training/ Adult Education Services,,(202) 544-9128,Metro: Potomac Ave (Blue/Orange Line),,-76.9825539,"Jobs for Homeless People, Inc. ",SE,DC,38.879483,Homeless
,700 Southern Ave,,,20032,Washington,,http://www.thetempleofpraise.org,Food/ Grocery Services,,(202) 561-0100,"Bus: A6, A7, A46, D12, D13, D14, W19, W15","Mon-Fri, 9am-5pm",-76.9965288,Johenning Temple of Praise,SE,DC,38.8249521,"Referral Required, Ward 8"
,119 D St.,,Referrals,20001,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,"(202) 639-8469
",Metro: Judiciary Square (Red Line),"7 Days a Week, 7pm-7am. Dinner: 7pm-8:30pm",-77.0129567,John L. Young Center,NW,DC,38.8948017,"Homeless, Women, Age 18+"
,800 Ridge Rd.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9433221,Johnson Memorial Church (SHARE site),SE,DC,38.877349,
,1730 Lanier Place,,Comprehensive service provider,20009,Washington,,http://www.josephshouse.org,Shelters/ Transitional Housing,,(202) 265-7174 ,Metro: Columbia Heights (Green/Yellow Line),"7 Days a Week, 24 Hours",-77.041149,Joseph's House,NW,DC,38.92495,"HIV/AIDS, Terminally Ill, Homeless"
,7420 Georgia Avenue,,,20012,Washington,,,Library,,,,,-77.026944,Juanita E. Thornton/Shepherd Park Library,NW,DC,38.980307,
,1640 Columbia Rd,,,20009,Washington,,http://www.jubileehousing.org,Shelters/ Transitional Housing,,(202) 299-1240,Metro: Columbia Heights (Green/Yellow Line),,-77.038154,Jubilee Housing,NW,DC,38.925218,
,2712 Ontario Road,,,20009,Washington,,http://www.jubileejobs.org,Job Training/ Adult Education Services,,(202) 667-8970,"Metro: Woodley Park (Red Line), Columbia Heights (Green/Yellow Line)","Mon-Thurs, 9am-5pm. Fri, 9am-3:30pm",-77.040763,Jubilee Jobs,NW,DC,38.9246,
,"5827 Columbia Pike Suite #320, 
",Monday-Friday,"Anyone and Everyone, Low-Income, Immigrants",22041,"Falls Church, VA",,http://justneighbors.org/home-en-top,Legal Services,"""Specifically, Just Neighbors represents immigrants who are eligible to obtain benefits from the United States Citizenship and Immigration Services (formerly INS)."" These benefits include:
-Lawful permanent residence (green card)
-Employment authorization (work permit)
-Temporary Protected Status
-Deferred action for immigrant victims of crimes and domestic violence

Just Neighbors provides legal services for immigrant clients in the following areas: 
-Employment authorization (work permit) applications and renewals
-NACARA applications
-Permanent residence (green card) applications
-Petitions to remove conditional residence, including battered spouse waivers
-Relative visa petitions for beneficiaries residing in the U.S.
-Self-petitions under VAWA (Violence Against Women Act) for victims of domestic violence
-Temporary Protected Status applications and re-registration
-U visas (interim relief) for victims of crimes

Just Neighbors does NOT provide services in these areas: 
-Asylum
-Cases for immigrants with criminal convictions
-Consular Processing
-Labor Certification
-Naturalization
-Religious Worker Visas
-Removal or Deportation Proceedings
-Student Visas
-Visitor Visas",,"Buses: 
16B to Pentagon Station
16E to Pentagon Station
16P to Culmore
16P to Pentagon Station
28B to King Street Station
-Get off at Columbia Place and Leesburg Pike, then walk approximately 1 block SW on Columbia Pike.

16B to Annandale
16E to Culmore
28B to Tysons Corner
-Get off at Columbia Place and Moray Lane, then walk approximately 3 blocks SW on Columbia Pike.",Services offered by appointment only. ,-77.1314079,Just Neighbors Immigration Legal Services,n/a,VA,38.848508,"Just Neighbors only offers services by appointment only. All services (including telephone and website) are offered in both Spanish and English. A fee of $50 is required for all appointments, though it is waived in cases of domestic violence. No additional fee will ever be charged, regardless of the eventual complexity of the case. Is possible, Just Neighbors requests that clients bring with them the following documents: 
Federal income tax return for the most recent tax year;
-Passport and I-94 card
-Documents to show current immigration status (including work permit or green card)
-Court records for victims of crimes and domestic violence
-Copies of all documents filed with the United States Citizenship and Immigration Services (formerly INS) and correspondence received from the immigration agency."
,1012 14th Street NW,,"Children, Teens/ Young Adults, Juvenile offenders",20005,Washington,,"http://www.jdcy.org/contact.html updated in 2009

email address info@jdcy.org","Legal Services, Job Training, Child Care, Recreational Programs, Artistic/ Creative Services, Empowerment, Counseling resources, Tutoring","Should be a youth, but not necessarily a delinquent",(202) 386-7104,Take the blue line to McPherson Square then walk to 14th St NW,Tried to call and very hours got no response...assuming normal business hours,-77.03238,Justice For DC Youth- Prison to College Pipeline Workshops and Resource Committe,NW,DC,38.903187,
,Columbia Rd. and Kalorama Rd.,,,20009,Washington,,,Community Garden,,,,,-77.044398,Kalorama Garden,NW,DC,38.919664,
,2812 Pennsylvania Avenue,,Comprehensive service provider,20020,Washington,,http://www.dcoa.dc.gov,Senior Services,,(202) 582-7112,"Bus: V7, U2",,-76.9668967,Keeping the Elderly Eating Nutritiously at Dwelling Place Senior Center,SE,DC,38.8719664,Seniors
,4300 Anacostia Ave.,,,20019,Washington,,www.dc.gov ,Senior Services,,(202) 724-8934,Bus: U6,"Mon, Tues, Thurs, 10am-6:30pm. Wed, Fri, 10am-7pm",-76.9423863,KEMP Senior Center/Kenilworth,NE,DC,38.9082238,"Seniors, Ward 7"
,400 20th St.,,,20002,Washington,,,Community Garden,,,,,-76.9762375,Kingman Park-Rosedale Community Garden,NE,DC,38.8947888,
,Kings Court,,,20003,Washington,,,Community Garden,,,,,-76.9836617,King's Court Community Garden,SE,DC,38.8861211,
,5034 Wisconsin Ave,,,20015,Washington,,,Food/ Grocery Services,,,,,-77.08376,Knights of Columbus #224 (SHARE site),NW,DC,38.955714,
,2700 Jasper Street,,Senior services,20020,Washington,,http://www.dchousing.org,Shelters/ Transitional Housing,,(202) 727-4005,Metro: New York Ave (Red Line),"7 Days a Week, 24 Hours",-76.9691445,Knox Hill,SE,DC,38.8516689,
,1436 Irving Street,,Counseling services,20010,Washington,,,Shelters/ Transitional Housing,,(202) 673-3592,Metro: Columbia Heights (Green/Yellow Line),"7 Days a Week, 7pm-7am",-77.0342681,La Casa Bilingual Shelter,NW,DC,38.9286396,Men
,2831 15th St ,,Low-Income,20009,Washington,"English
Spanish",,Interpretation Service (Medical Purpose),Services are provided for Latio Community.,(202) 462-4788,Metro Yellow/Green Lines: Columbia Heights,,-77.0353512,La ClÍnica del Pueblo,NW,DC,38.9259008,
,5401 South Dakota Avenue,,,20011,Washington,,,Library,,,,,-77.0004504,Lamond-Riggs Library,NE,DC,38.9554957,
,409 E St,,,20001,Washington,,,Shelterss/ Transitional Housing,,(202) 879-4879,Metro: Judiciary Square (Red Line),,-77.0164319,Landloard Tenant Resource Center (DC Superior Court Building),NW,DC,38.8961466,
,1425 C St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.98494,Lane Memorial CME (SHARE site),NE,DC,38.89341,
,2600 Benning Road,,,20002,Washington,,,Library,,,,,-76.9651188,Langston Library,NE,DC,38.8974308,
,1419 Columbia Road,,Counseling services,20009,Washington,,http://www.layc-dc.org,Teen/ Youth Programs,,(202) 319-2225,Metro: Columbia Heights (Green/Yellow Line),"Mon-Fri, 8am-8pm. Sat, 10am-5pm",-77.0330573,Latin American Youth Center (LAYC),NW,DC,38.9275106,
,527 Kentucky Ave,,,20003,Washington,,,Food/ Grocery Services,,,,,-76.984313,Liberty Baptist (SHARE site),SE,DC,38.882029,
,1301 North Carolina Ave,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9882677,Lincoln Park United Methodist (SHARE site),NE,DC,38.8906026,
,"635 Edgewood St. NE
","Office: M-F
Classes: M-Th
 ","Job Training, Empowerment",20017,Washington,English,"www.lvanca.org
Feb. 2010",Adult Education,"LVA has been around since 1987, when it was known as Literacy Volunteers of America-National Capital Area.  Since 1987, it has been one of two agencies in Washington, D.C. that provide instruction for adults who read below a 6th grade level. From 1987 to 2004, LVA provided adults with one-on-one tutors, free of charge, to assist them with basic reading and writing. In 2004 LVA added small-group classes to its services. Today, LVA offers morning and evening classes in reading, writing, and consumer math, as well as continuing the tradition of providing one-on-one tutoring for everyone who walks through our doors.",(202) 387-1772,"Bus: D8  or G8
Metro:  Rhode Island Ave/Brentwood","Office hours: 9am-5pm M-F
Registration: call for an appointment
Classes: Morning and evening
One-on-one tutoring: any mutually convenient time",-76.996708,Literacy Volunteers and Advocates,NE,DC,38.923231,"Only provides services to those 18+
Those who read below an 8th grade level"
,4200 Harewood Road,,Shelters/ Transitional Housing,20017,Washington,,http://www.littlesistersofthepoor.org,Senior Services,,(202) 269-1831,Metro: Brookland-CUA (Red Line),,-77.005232,Little Sisters of the Poor- Jeanne Jugan Residence,NE,DC,38.938696,
,1525 Newton St.,,,20010,Washington,,http://www.loavesandfishesdc.org,Meal Programs,,(202) 232-0900,Metro: Columbia Heights (Green/Yellow Line),"Sat, Sun, 12pm. Holidays",-77.036208,Loaves and Fishes at St. Stephen's and the Incarnation,NW,DC,38.933248,
,11th St. and E. St.,,,20004,Washington,,,Community Garden,,,,,-77.0270474,Lovejoy School Community Garden,NW,DC,38.8961115,
,212 East Capitol St.,,,20003,Washington,,http://www.reformationdc.org,Food/ Grocery Services,,(202) 543-4200,Metro: Capitol South (Blue/Orange Line),"Mon-Fri, 8:30am-4pm",-77.0028651,Lutheran Church of the Reformation,NE,DC,38.8898234,"Referral Required, Low Income"
,"
4406 Georgia Ave",,,20011,Washington,,http://www.lssnca.org,Comprehensive Service Provider,,(202) 723-3000,"Bus: 70, 71, 63",,-77.026532,Lutheran Social Services: National Capital Area (Immigration services),NW,DC,38.944328,
,100 Gallatin St.,,,20011,Washington,,,Community Garden,,,,,-77.0077959,Mamie D. Lee Garden,NE,DC,38.9523896,
,3458 Pennsylvania Ave.,,,20020,Washington,,http://www.marianmillercc.org,Comprehensive Service Provider,,(202) 583-3965,"Bus: M6, 35, 36, J13, K11, B2","Food: Tues, Thurs, 6:30pm-8pm. Clothing: Tues, Fri, 6:30pm-8pm. Sat, 9am-2pm",-76.95446,Marian Miller Community Center,SE,DC,38.866908,
,3939 Benning Rd.,,Job Training/ Adult Education Services,20019,Washington,,http://www.mhcdo.org,Comprehensive Service Provider,,(202) 584-1800,Metro: Minnesota Ave (Orange Line),"Mon, Tues, Thurs, 9am-2pm. Fri, 9am-12pm",-76.9475042,Marshall Heights Community Development Organization,NE,DC,38.8943691,"Identification Required, Referral Required, Low Income"
,2114 14th Street,,Teen/ Youth Programs,20009,Washington,,http://www.marthastable.org,Comprehensive Service Provider,,(202) 328-6608,Metro: U Street (Green/Yellow Line),"Mon-Fri, 8am-6pm",-77.032358,Martha's Table,NW,DC,38.918517,
,15th St. and I St.,,,20005,Washington,,http://www.marthastable.org,Food/ Grocery Services,,(202) 328-6608,Metro: McPherson Square (Blue/Orange Line),"7 Days a Week, 6pm-6:30pm",-77.034642,"Martha's Table, McKenna's Wagon at 15th and I",NW,DC,38.901301,
,19th and Pennsylvania Ave,,,20006,Washington,,http://www.marthastable.org,Food/ Grocery Services,,(202) 328-6608,Metro: Farragut West (Blue/Orange Line),"7 Days a Week, 5:20pm-5:45pm",-77.0434603,"Martha's Table, McKenna's Wagon at 19th and Pennsylvania",NW,DC,38.9002165,
,4th St. and L St.,,,20001,Washington,,http://www.marthastable.org,Food/ Grocery Services,,(202) 328-6608,Metro: Mt Vernon Square (Green/Yellow Line),"7 Days a Week, 5:30pm-6pm",-77.0005773,"Martha's Table, McKenna's Wagon at 4th and L",NW,DC,38.903727,
,901 G Street,,,20001,Washington,,,Library,,,,,-77.024696,Martin Luther King Jr. Memorial Library,NW,DC,38.898448,
,2423 14th St,,Women's Health/ Family Serivces,20018,Washington,,,Health Services,,,,,-76.985069,Mary Center for Maternal & Child Care- Brookland Manor (WIC ENROLLMENT SITES/AGENCIES ),NE,DC,38.922174,
,8th & P Streets,,Women's Health/ Family Serivces,20001,Washington,,,Health Services,,,,,-68.3510971,Mary Center for Maternal & Child Care-Chinatown (Mobile Unit)(WIC ENROLLMENT SITES/AGENCIES ),NW,DC,8.7318897,
,508 Kennedy St.,,Comprehensive service provider,20009,Washington,,,Women's Health/ Family Services,,,,,-77.020298,Mary's Center for Maternal and Child Care(WIC ENROLLMENT SITES/AGENCIES ),NW,DC,38.956114,
,8709 Flower Avenue,,Comprehensive service provider,20901,Silver Spring,,,Women's Health/ Family Services,,,,,-77.0036099,Mary's Center for Maternal and Child Care(WIC ENROLLMENT SITES/AGENCIES ),,MD,38.9984151,
,2333 Ontario Road,,,20009,Washington,,http://www.maryscenter.org,Women's Health/ Family Services,,(202) 483-8196,"Bus: S4, L2, H1, 42",Open two saturdays per month 9:00am- 4:00pm,-77.039815,Mary's Center for Maternal and Child Care: Headquarters (Ward 1) Medical,NW,DC,38.921008,"Women, Families"
,2355 Ontario Road,,Job Training/ Adult Education Services,20009,Washington,,http://www.maryscenter.org,Women's Health/ Family Services,,(202) 483-8196,"Bus: S4, L2, H1, 42","Mon-Fri, 8:30am-5pm",-77.040099,Mary's Center for Maternal and Child Care: Headquarters (Ward 1) Educational and Social Services,NW,DC,38.9213617,"Women, Families"
,2333 Ontario Road,,,20009,Washington,,http://www.maryscenter.org,Women's Health/ Family Services,,,"Bus: S4, L2, H1, 42",,-77.039815,Mary's Center Mama & Baby Bus,NW,DC,38.921008,"Women, Families"
,2616 Martin Luther King Jr Ave,,,20020,Washington,,,Food/ Grocery Services,,,,,-76.9954312,Matthews Memorial Baptist (SHARE site),SE,DC,38.8587875,
,"1875 Connecticut Ave. NW, Suite 710","Monday - Friday, some support groups meet on weekends","Women Only, LGBT",20009,Washington,,http://www.mautnerproject.org/home/,"Empowerment, Counseling resources, LGBT Services",,202-332-5536,"DuPont Circle Metro - Red Line
42 Bus","9:00 - 5:00, support groups meet as determined by individual groups",-77.045302,Mautner Project,NW,DC,38.915617,The Mautner Project serves women who partner with women (WPW) living with life threatening illnesses.
,2301 Martin Luther King Jr Ave,,,20020,Washington,,http://www.wwc.org,Health Services,,(202) 678-8877,"Metro: Anacostia (Green Line). Bus: 90, P6, P2","Mon, Tues, 8am-8pm. Wed-Fri, 8am-5pm",-76.9912182,"Max Robinson Center of Whitman-Walker Clinic
",SE,DC,38.8634418,HIV/AIDS
,3425 A St.,,,20019,Washington,,http://www.mhcdo.org,Comprehensive Service Provider,,(202) 396-1200,"Bus: U5, U6, V7","Mon-Fri, 9am-5:30pm",-76.9572601,Meadow Green Community Center,SE,DC,38.8887703,Ward 7
,Connecticut Ave. and Sedgewick St.,,,20008,Washington,,,Community Garden,,,,,-77.0622028,Melvin Hazen Garden,NW,DC,38.9451658,
,5126 B St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.9267628,Mentrotone Baptist (SHARE site),SE,DC,38.8862948,
,1225 R Street,,,20009,Washington,,,Job Training/ Adult Education Services,,(202) 234-2665,"Metro: U Street (Green/Yellow Line) Bus:V5, W6, W8, 92 ",Mon-Fri,-77.028967,Metropolitan Delta Adult Literacy Council (Metropolitan Baptist Church: ABE/Family Literacy & GED),NW,DC,38.912895,
,1647 Good Hope Rd.,,,20020,Washington,,,Job Training/ Adult Education Services,,,,,-76.9808212,Metropolitan Delta Adult Literacy Council (UPO Anacostia: ABE/Family Literacy),SE,DC,38.86598,
,300 Indiana Ave,,,20001,Washington,,,Women's Health/ Family Services,,,,,-77.0165757,"Metropolitan Police Department and SAFE, Inc",NW,DC,38.8943197,
,1712 North Capitol St,,,20002,Washington,,,Food/ Grocery Services,,,,,-77.0091269,Metropolitan Wesley AME Zion (SHARE site),NW,DC,38.9129961,
,1600 Taylor St.,,,20017,Washington,,,Food/ Grocery Services,,,,,-76.982378,Michigan Park Christian (SHARE site),NE,DC,38.941135,
,5219 Call Place,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.926771,Miracle Temple Non-Denominational Church (SHARE site),SE,DC,38.883881,
,2401 Virginia Ave,,Comprehensive service provider,20037,Washington,,http://www.miriamskitchen.org,Meal Programs,,(202) 452-8926,Metro: Foggy Bottom-GWU (Blue/Orange Line),"Mon-Fri, 6:30am-9:45am. Lunch: Wed, 12pm-2pm",-77.051947,Miriam's Kitchen,NW,DC,38.898614,
,9309 Old Georgetown Road,,,20814,Bethesda,,,Health Services,,,,,-77.1128075,"Mobile Medical Care, Inc.",,MD,39.0081281,
,1125 Neal St,,,20002,Washington,,http://www.catholiccharitiesdc.org,http://www.catholiccharitiesdc.org,,(202) 396-8100,"Metro: New York Ave (Red Line) Bus: 90, 92","Mon-Fri, 7am-6pm",-76.9905628,Model Cities Day Care Center,NE,DC,38.905239,Children Age 6 Weeks to 4 Years
,1901 Evarts St.,,,20018,Washington,,,Senior Services,,(202) 635-1900,Bus: B8,"Mon-Fri, 8am-5pm",-76.9775436,Model Cities Senior Wellness Center,NE,DC,38.9244924,Seniors
,17th St. and Montana Ave.,,,20002,Washington,,,Community Garden,,,,,-76.97707,Montana Garden,NE,DC,38.91583,
,5214 Foote St.,,,20019,Washington,,,Food/ Grocery Services,,,,,-76.925285,Morning Star Abaithiar Church (SHARE site),NE,DC,38.897426,
,3204 Brothers Place,,,20032,Washington,,,Food/ Grocery Services,,,,,-77.0006427,Morning Star Baptist Church (SHARE site),SE,DC,38.8436922,
,1730 Hamlin St.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.979953,Most Worshipful Grand Lodge (SHARE site),NE,DC,38.9283069,
,467 Florida Avenue,,,20001,Washington,,http://www.mother-dears.org,Comprehensive Service Provider,,(202) 387-9055,Metro: New York Ave (Red Line),,-77.0180821,Mother Dear's Community Center,NW,DC,38.9147844,
,2411 Lawrence St.,,,20018,Washington,,,Meal Programs,,(202) 526-3685,"Bus: 81, 82, 83, 84, 85, 86,T18","Wed, 12:30pm-1:30pm. Fri,10am-2pm",-76.971481,MSB Community Outreach House,NE,DC,38.93194,Ward 5 (otherwise referral required)
,1100 North Capitol St.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.0091527,Mt. Airy Baptist (SHARE site),NW,DC,38.9047294,
,75 Rhode Island Ave.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.011668,Mt. Bethel Baptist-Veterans Club (SHARE site),NW,DC,38.916215,
,5900 New Hampshire Ave,,,20011,Washington,,,Food/ Grocery Services,,,,,-77.0052379,Mt. Calvary Holy Church of Deliverance (SHARE site),NE,DC,38.9620246,
,471 G Place ,,,20001,Washington,,http://www.catholiccharitiesdc.org,Comprehensive Service Provider,,(202) 289-6315,Metro: Gallery Place-Chinatown (Red/Green/Yellow Line),,-77.0187499,Mt. Carmel House,NW,DC,38.8990875,"Homeless, Women Age 25+"
,1625 13th St.,,,20009,Washington,,,Food/ Grocery Services,,,,,-77.029216,Mt. Gilead Baptist (SHARE site),NW,DC,38.911895,
,2914 Bladensburg Rd.,,,20018,Washington,,,Food/ Grocery Services,,,,,-76.962525,Mt. Horeb Baptist (SHARE site),NE,DC,38.928159,
,1219 New Jersey Ave,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.014676,Mt. Lebanon Baptist (SHARE site),NW,DC,38.9063159,
,1140 6th St.,,,20002,Washington,,,Food/ Grocery Services,,,,,-76.9985715,Mt. Olive Baptist (SHARE site),NE,DC,38.9050731,
,215 Rhode Island Ave.,,,20001,Washington,,,Food/ Grocery Services,,,,,-77.014867,Mt. Pleasant Baptist (SHARE site),NW,DC,38.915248,
,1650 Lamont St.,,,20010,Washington,,,Farmers Market,,,,,-77.0380715,Mt. Pleasant Farmers Market,NW,DC,38.9310455,
"Dinner Program, Affordable/ Transitional Housing, Clothing, Showers, mental and physical health care, case management",3160 16th Street,,,20010,Washington,,,Library,,,,,-77.037242,Mt. Pleasant Library,NW,DC,38.930478,
,621 Rhode Island Ave,,Comprehensive service provider,20001,Washington,,http://www.catholiccharitiesdc.org,Shelters/ Transitional Housing,,(202) 234-2399,Metro: Rhode Island Ave-Brentwood (Red Line),"7 Days a Week, 24 Hours",-77.020852,Mulumba House,NW,DC,38.913206,"Men, Age 18+, 30 Days Clean"
,216 New York Ave,,"Women Only, Low-Income, Immigrants",20001,"Washington,","English 
Spanish",http://www.mysistersplacedc.org/index.html,"Child Care, Hotline Services","low-income women, immigrant women, women who have been multiply-victimized as children and as adults",(202) 986-1476 ,Metro Yellow/Green Line: mt vernon square 7th st - convention center metro station,,-77.0142656,My Sister's Place,NW,DC,38.905386,
,1333 N St.,,Comprehensive service provider,20005,Washington,,http://www.nstreetvillage.org,Shelters/ Transitional Housing,,(202) 939-2076,Metro: McPherson Square (Blue/Orange Line),"Day Center: Mon-Fri, 7:30am-4pm, Sat-Sun, 9am-4pm. Wellness Center: Mon-Fri, 9am-4pm",-77.0311857,N Street Village,NW,DC,38.9072578,Women
,1220 L St.,,Comprehensive service provider,20005,Washington,,http://www.ncba-aged.org,Senior Services,,(202) 637-8400,Metro: McPherson Square (Blue/Orange Line),,-77.029191,National Caucus and Center on Black Aged,NW,DC,38.903445,
,5 Thomas Circle,,,20005,Washington,,http://www.nationalcitycc.org,Food/ Grocery Services,,(202) 232-0323,Metro: McPherson Square (Blue/Orange Line),"Wed, 10am-1pm",-77.0324759,National City Christian Church,NW,DC,38.9062498,"Homeless, Low Income"
,2201 P St.,,Advocacy,20037,Washington,,http://www.nationalhomeless.org,Shelters/ Transitional Housing,,(202) 462-4822,Metro: Dupont Circle (Red Line),"Mon-Fri, 9am-5pm",-77.049608,National Coalition for the Homeless,NW,DC,38.910404,"Homeless (does not provide direct service, advocacy group)"
,128 M Street,,,20001,Washington,,http://www.nspnet.org,Job Training/ Adult Education Services,,(202) 289-2525,"Metro: New York Ave, Mt. Vernon Square (Red Line)","Mon-Fri, 9am-5pm",-77.012867,National Student Partnerships,NW,DC,38.90533,
,"1638 R Street NW, Suite 300",Monday - Friday,"Teens/ Young Adults, LGBT",20009,Washington,,http://www.nyacyouth.org/index.php,Empowerment,"Programs are primarily geared towards youth and teens, but adults can also take advantage of resources for support of LGBT youth and teens.",202-319-7596,"DuPont Circle Metro - Red Line
S4 Bus
52 Bus
53 Bus",Ongoing programs,-77.0380566,National Youth Advocacy Coalition,NW,DC,38.9124799,
